sub_context,n,eligible,absorbed,recall_unit_raw,recall_anchor_raw,recall_g_raw,recall_h_raw,recall_dense_raw,recall_unit_matched,recall_anchor_matched,recall_g_matched,recall_h_matched,recall_dense_matched,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_g_mcnemar_p,unit_minus_g_holm_p,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_h_mcnemar_p,unit_minus_h_holm_p
Greece,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9871794871794872,0.9871794871794872,0.9358974358974359,,,,,,,,,,
India,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.9666666666666667,0.9733333333333334,1.0,0.02666666666666667,0.0,0.06,0.21875,1.0,0.02,0.0,0.04666666666666667,0.25,1.0
Indonesia,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,0.9871794871794872,,,,,,,,,,
Iran,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,1.0,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0,0.0,0.0,0.0,1.0,1.0
Iraq,105,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9238095238095239,0.9809523809523809,1.0,,,,,,,,,,
Ireland,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.9466666666666667,0.9533333333333334,0.9866666666666667,0.04666666666666667,0.013333333333333334,0.08666666666666667,0.0390625,0.625,0.04,0.013333333333333334,0.07333333333333333,0.03125,0.5
Israel,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,0.9733333333333334,0.96,0.96,-0.006666666666666667,-0.02666666666666667,0.013333333333333334,1.0,1.0,0.006666666666666667,-0.02666666666666667,0.04,1.0,1.0
Italy,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9933333333333333,0.98,0.02,0.0,0.04666666666666667,0.25,1.0,0.006666666666666667,0.0,0.02,1.0,1.0
Japan,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Jordan,124,False,True,1.0,0.2903225806451613,0.9919354838709677,0.9193548387096774,1.0,0.6935483870967742,0.2903225806451613,0.75,0.6048387096774194,0.7096774193548387,,,,,,,,,,
Kenya,49,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9387755102040817,0.9387755102040817,,,,,,,,,,
Mexico,150,True,False,0.9666666666666667,0.9466666666666667,1.0,0.9933333333333333,1.0,0.7333333333333333,0.9466666666666667,0.96,0.9,0.9066666666666666,-0.22666666666666666,-0.29333333333333333,-0.16,1.1641532182693481e-10,2.2118911147117615e-09,-0.16666666666666666,-0.22666666666666666,-0.10666666666666667,4.172325134277344e-07,7.927417755126953e-06
Morocco,27,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629629,1.0,1.0,,,,,,,,,,
Netherlands,126,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9206349206349206,0.9841269841269841,,,,,,,,,,
New Zealand,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.9466666666666667,0.92,0.8933333333333333,0.04666666666666667,0.013333333333333334,0.08666666666666667,0.0390625,0.625,0.07333333333333333,0.03333333333333333,0.12,0.00341796875,0.05810546875
Nigeria,73,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.958904109589041,0.9726027397260274,0.9452054794520548,,,,,,,,,,
Norway,89,False,False,1.0,1.0,1.0,1.0,1.0,0.9550561797752809,1.0,0.9213483146067416,0.9662921348314607,0.9775280898876404,,,,,,,,,,
Pakistan,122,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.9672131147540983,0.9590163934426229,,,,,,,,,,
Peru,42,False,False,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,0.9285714285714286,1.0,0.9761904761904762,,,,,,,,,,
Poland,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.9933333333333333,0.9933333333333333,0.9866666666666667,0.0,0.0,0.0,1.0,1.0,0.0,-0.02,0.02,1.0,1.0
Portugal,48,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9583333333333334,,,,,,,,,,
Russia,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,1.0,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0,0.0,0.0,0.0,1.0,1.0
Saudi Arabia,53,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9056603773584906,0.9811320754716981,0.8301886792452831,,,,,,,,,,
South Africa,141,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553191,1.0,1.0,,,,,,,,,,
South Korea,70,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,,,,,,,,,,
Spain,150,True,False,0.9933333333333333,0.9933333333333333,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,1.0,0.9866666666666667,-0.006666666666666667,-0.02,0.0,1.0,1.0,-0.006666666666666667,-0.02,0.0,1.0,1.0
Sri Lanka,39,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,,,,,,,,,,
Sweden,122,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836065573770492,1.0,1.0,,,,,,,,,,
Switzerland,94,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9468085106382979,1.0,0.9361702127659575,,,,,,,,,,
Thailand,68,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Turkey,106,False,False,1.0,1.0,1.0,1.0,1.0,0.9716981132075472,1.0,0.9716981132075472,0.9528301886792453,0.9433962264150944,,,,,,,,,,
Ukraine,66,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
United Kingdom,150,True,False,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,0.96,0.9666666666666667,0.88,0.013333333333333334,-0.02666666666666667,0.05333333333333334,0.75390625,1.0,0.006666666666666667,-0.03333333333333333,0.04666666666666667,1.0,1.0
United States,150,True,True,0.9866666666666667,0.7666666666666667,1.0,0.9933333333333333,1.0,0.35333333333333333,0.7666666666666667,0.9533333333333334,0.9133333333333333,0.8066666666666666,-0.6,-0.6866666666666666,-0.5133333333333333,2.378717289651507e-23,4.757434579303014e-22,-0.56,-0.6533333333333333,-0.4666666666666667,9.440274241692034e-20,1.8880548483384068e-18
Vietnam,88,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8636363636363636,0.9431818181818182,1.0,,,,,,,,,,
